cps19_religion,cps19_province,cps19_yob,cps19_employment,cps19_gender,cps19_education,cps19_imm,cps19_bornin_canada,cps19_econ_retro,cps19_own_fin_retro,pes19_votechoice2019,pes19_nativism1,pes19_nativism5,pes19_immigjobs,age,attitude,cpes19_immigjobs,cpes19_nativism1,cpes19_nativism5
Muslim,Ontario,81,Student,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Somewhat agree,Strongly disagree,19,2.0,1.0,3.0,4.0
United Church of Canada,Ontario,62,Working for pay full-time,Male,Master degree,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Strongly agree,Somewhat agree,Somewhat agree,38,1.0,4.0,5.0,4.0
Atheist,Ontario,56,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Somewhat agree,Somewhat disagree,Somewhat agree,44,2.0,4.0,4.0,2.0
Catholic,Ontario,52,Working for pay part-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,3,NDP,Somewhat agree,Somewhat disagree,Somewhat disagree,48,2.0,2.0,4.0,2.0
Atheist,Ontario,69,Working for pay full-time,Female,Some university,About the same number of immigrants as now,Canadian,Got worse,2,Liberal,Somewhat agree,Somewhat agree,Neither agree nor disagree,31,2.0,3.0,4.0,4.0
Anglican,Ontario,39,Retired,Male,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,61,1.0,3.0,4.0,3.0
Atheist,Ontario,19,Retired,Male,Some technical,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Strongly agree,Somewhat disagree,Somewhat disagree,81,1.0,2.0,5.0,2.0
Catholic,Newfoundland,32,Retired,Female,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,68,2.0,1.0,4.0,1.0
Muslim,Ontario,66,Working for pay full-time,Male,Master degree,Fewer immigrants,Immigrant,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,34,1.0,1.0,4.0,2.0
Anglican,Ontario,36,Disabled,Female,Bachelor degree,More immigrants,Canadian,Got worse,3,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,64,3.0,2.0,4.0,1.0
Atheist,Nova Scotia,18,Retired,Female,Some university,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,82,3.0,1.0,2.0,1.0
Protestant,Ontario,65,Working for pay full-time,Male,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,35,3.0,1.0,2.0,2.0
Atheist,Ontario,31,Retired,Male,Some technical,Fewer immigrants,Immigrant,Got worse,2,Conservative,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,69,1.0,3.0,5.0,3.0
Anglican,Ontario,47,Self employed,Female,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Green Party,Somewhat disagree,Somewhat disagree,Strongly disagree,53,2.0,1.0,2.0,2.0
Agnostic,Ontario,65,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,35,2.0,1.0,2.0,1.0
Catholic,Ontario,28,Retired,Female,Master degree,About the same number of immigrants as now,Canadian,Got better,3,Liberal,Strongly agree,Strongly disagree,Neither agree nor disagree,72,2.0,3.0,5.0,1.0
Atheist,Ontario,42,Self employed,Male,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,58,2.0,3.0,3.0,3.0
United Church of Canada,Ontario,28,Retired,Male,Master degree,About the same number of immigrants as now,Canadian,Got better,2,NDP,Somewhat agree,Strongly disagree,Strongly disagree,72,2.0,1.0,4.0,1.0
Atheist,Ontario,24,Working for pay part-time,Female,Completed secondary/ high school,More immigrants,Immigrant,Stayed about the same,3,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,76,3.0,2.0,4.0,1.0
Protestant,Ontario,47,Retired,Male,Master degree,Fewer immigrants,Canadian,Stayed about the same,3,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,53,1.0,2.0,4.0,2.0
Catholic,Ontario,30,Retired,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got worse,2,Liberal,Strongly agree,Somewhat agree,Somewhat agree,70,2.0,4.0,5.0,4.0
Catholic,Ontario,55,Working for pay full-time,Male,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,45,2.0,1.0,3.0,1.0
Catholic,Ontario,45,Self employed,Female,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,3,Liberal,Somewhat agree,Somewhat disagree,Somewhat agree,55,2.0,4.0,4.0,2.0
Hindu,Quebec,50,Unemployed/ looking for work,Male,Completed secondary/ high school,Fewer immigrants,Immigrant,Stayed about the same,2,Conservative,Strongly agree,Strongly disagree,Strongly disagree,50,1.0,1.0,5.0,1.0
Anglican,Ontario,24,Retired,Male,Bachelor degree,Fewer immigrants,Immigrant,Got worse,1,Conservative,Somewhat agree,Strongly agree,Strongly disagree,76,1.0,1.0,4.0,5.0
Jewish,Ontario,28,Working for pay part-time,Male,Professional degree or doctorate,More immigrants,Immigrant,Got better,1,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,72,3.0,1.0,4.0,1.0
Catholic,Ontario,47,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,3,Green Party,Strongly agree,Strongly agree,Strongly agree,53,1.0,5.0,5.0,5.0
Atheist,Quebec,52,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Strongly agree,Strongly agree,48,1.0,5.0,5.0,5.0
Atheist,Ontario,64,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Immigrant,Got worse,3,Conservative,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,36,1.0,3.0,3.0,4.0
Catholic,Ontario,54,Working for pay full-time,Female,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,46,2.0,2.0,4.0,2.0
Atheist,Ontario,30,Retired,Male,Professional degree or doctorate,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Somewhat disagree,Neither agree nor disagree,70,1.0,3.0,4.0,2.0
Catholic,Ontario,67,Working for pay full-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Liberal,Somewhat agree,Strongly agree,Strongly agree,33,1.0,5.0,4.0,5.0
Agnostic,Ontario,34,Retired,Male,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,3,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,66,2.0,2.0,4.0,1.0
Agnostic,Ontario,36,Retired,Male,Professional degree or doctorate,About the same number of immigrants as now,Immigrant,Stayed about the same,2,NDP,Somewhat agree,Somewhat disagree,Somewhat disagree,64,2.0,2.0,4.0,2.0
Atheist,Ontario,64,Caring for a family,Female,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Somewhat agree,Strongly disagree,Neither agree nor disagree,36,2.0,3.0,4.0,1.0
Catholic,Ontario,44,Retired,Female,Some secondary/ high school,More immigrants,Canadian,Stayed about the same,2,NDP,Strongly disagree,Strongly disagree,Strongly disagree,56,3.0,1.0,1.0,1.0
United Church of Canada,Ontario,37,Retired,Female,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,63,2.0,3.0,4.0,3.0
Atheist,Ontario,43,Retired,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,57,2.0,1.0,2.0,1.0
Buddhist,Ontario,56,Working for pay part-time,Female,Master degree,About the same number of immigrants as now,Immigrant,Got better,2,Liberal,Somewhat agree,Strongly disagree,Neither agree nor disagree,44,2.0,3.0,4.0,1.0
Catholic,Ontario,51,Working for pay full-time,Female,Master degree,Fewer immigrants,Canadian,Stayed about the same,3,Liberal,Strongly agree,Somewhat disagree,Strongly agree,49,1.0,5.0,5.0,2.0
Anglican,Ontario,28,Retired,Female,Completed secondary/ high school,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,72,3.0,2.0,4.0,1.0
Muslim,Ontario,55,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,45,2.0,1.0,4.0,2.0
Baptist,Ontario,39,Self employed,Male,Master degree,Fewer immigrants,Immigrant,Stayed about the same,2,Conservative,Somewhat disagree,Strongly disagree,Strongly disagree,61,1.0,1.0,2.0,1.0
Baptist,Ontario,48,Working for pay full-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,3,Conservative,Strongly agree,Strongly agree,Strongly agree,52,1.0,5.0,5.0,5.0
Catholic,Ontario,61,Working for pay full-time,Male,Professional degree or doctorate,Fewer immigrants,Canadian,Got worse,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,39,1.0,2.0,4.0,2.0
Agnostic,Ontario,27,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Somewhat agree,Somewhat disagree,Somewhat disagree,73,2.0,2.0,4.0,2.0
Catholic,Ontario,63,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Got better,1,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,37,2.0,1.0,4.0,1.0
Protestant,Ontario,32,Retired,Male,Some university,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,68,1.0,3.0,5.0,3.0
Protestant,Quebec,29,Retired,Male,Some secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Neither agree nor disagree,Somewhat agree,71,1.0,4.0,5.0,3.0
Atheist,New Brunswick,28,Working for pay part-time,Male,Professional degree or doctorate,More immigrants,Canadian,Got better,2,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,72,3.0,2.0,4.0,1.0
Jewish,Ontario,30,Retired,Male,Bachelor degree,More immigrants,Immigrant,Got better,1,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,70,3.0,1.0,4.0,1.0
Catholic,Ontario,33,Retired,Male,Completed technical,More immigrants,Immigrant,Got better,2,NDP,Neither agree nor disagree,Strongly disagree,Strongly disagree,67,3.0,1.0,3.0,1.0
United Church of Canada,Nova Scotia,35,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,1,Liberal,Strongly agree,Somewhat disagree,Somewhat disagree,65,2.0,2.0,5.0,2.0
Jewish,Ontario,59,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Strongly agree,Neither agree nor disagree,Strongly agree,41,1.0,5.0,5.0,3.0
United Church of Canada,Ontario,51,Disabled,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,49,1.0,3.0,5.0,3.0
Atheist,Ontario,50,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Got better,1,Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,50,2.0,1.0,2.0,2.0
Catholic,Ontario,43,Working for pay full-time,Male,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Strongly agree,Somewhat agree,Somewhat disagree,57,2.0,2.0,5.0,4.0
United Church of Canada,Ontario,46,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Somewhat disagree,Strongly disagree,54,2.0,1.0,4.0,2.0
United Church of Canada,Ontario,36,Working for pay part-time,Male,Master degree,More immigrants,Canadian,Got better,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,64,3.0,1.0,3.0,1.0
Baptist,Newfoundland,57,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Somewhat disagree,Somewhat disagree,Somewhat agree,43,2.0,4.0,2.0,2.0
Jewish,Ontario,66,Working for pay full-time,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Stayed about the same,1,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,34,2.0,1.0,4.0,1.0
Atheist,Manitoba,59,Disabled,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got better,1,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,41,2.0,1.0,2.0,1.0
Atheist,Ontario,48,Working for pay full-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,3,NDP,Strongly agree,Strongly agree,Somewhat agree,52,1.0,4.0,5.0,5.0
United Church of Canada,Ontario,40,Working for pay full-time,Female,Bachelor degree,More immigrants,Canadian,Got better,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,60,3.0,1.0,3.0,1.0
Atheist,Ontario,60,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Green Party,Neither agree nor disagree,Somewhat disagree,Somewhat agree,40,2.0,4.0,3.0,2.0
Atheist,Ontario,72,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Got worse,3,Liberal,Somewhat agree,Strongly disagree,Somewhat disagree,28,2.0,2.0,4.0,1.0
Catholic,Ontario,37,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Conservative,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,63,2.0,3.0,3.0,2.0
Catholic,Ontario,32,Working for pay part-time,Male,Some secondary/ high school,About the same number of immigrants as now,Canadian,Got better,1,Liberal,Somewhat disagree,Somewhat disagree,Somewhat disagree,68,2.0,2.0,2.0,2.0
Church of Jesus Christ of the Latter Day Saints,Ontario,33,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,67,2.0,1.0,3.0,3.0
Protestant,Quebec,64,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,36,2.0,1.0,3.0,1.0
United Church of Canada,Nova Scotia,29,Retired,Female,Some university,More immigrants,Canadian,Got better,2,NDP,Strongly disagree,Strongly disagree,Strongly disagree,71,3.0,1.0,1.0,1.0
Agnostic,Nova Scotia,43,Unemployed/ looking for work,Female,Some secondary/ high school,Fewer immigrants,Canadian,Got worse,1,Conservative,Strongly agree,Neither agree nor disagree,Strongly agree,57,1.0,5.0,5.0,3.0
Agnostic,Ontario,56,Working for pay full-time,Female,Professional degree or doctorate,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Neither agree nor disagree,44,1.0,3.0,5.0,4.0
Jewish,Ontario,50,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,1,Liberal,Strongly agree,Neither agree nor disagree,Strongly agree,50,1.0,5.0,5.0,3.0
Presbyterian,Ontario,45,Working for pay full-time,Female,Completed secondary/ high school,More immigrants,Canadian,Got worse,3,Liberal,Somewhat disagree,Strongly disagree,Somewhat disagree,55,3.0,2.0,2.0,1.0
United Church of Canada,Nova Scotia,52,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,48,2.0,1.0,1.0,1.0
Baptist,Ontario,52,Working for pay full-time,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Strongly disagree,Somewhat disagree,48,2.0,2.0,3.0,1.0
United Church of Canada,New Brunswick,27,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,1,Conservative,Somewhat disagree,Somewhat disagree,Somewhat disagree,73,2.0,2.0,2.0,2.0
Agnostic,Ontario,35,Retired,Female,Master degree,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Somewhat agree,Somewhat agree,Neither agree nor disagree,65,2.0,3.0,4.0,4.0
Anglican,Newfoundland,55,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Strongly agree,Strongly agree,45,1.0,5.0,5.0,5.0
Church of Jesus Christ of the Latter Day Saints,British Columbia,43,Unemployed/ looking for work,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,3,NDP,Somewhat agree,Somewhat disagree,Strongly disagree,57,2.0,1.0,4.0,2.0
Atheist,Ontario,23,Self employed,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,77,2.0,2.0,4.0,2.0
Anglican,Nova Scotia,45,Working for pay part-time,Female,Some university,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat agree,Neither agree nor disagree,Somewhat agree,55,2.0,4.0,4.0,3.0
United Church of Canada,Ontario,43,Retired,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,NDP,Strongly agree,Strongly disagree,Somewhat disagree,57,1.0,2.0,5.0,1.0
Salvation Army,Ontario,53,Working for pay full-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,2,NDP,Strongly agree,Strongly agree,Strongly agree,47,1.0,5.0,5.0,5.0
Catholic,Quebec,37,Self employed,Male,Master degree,More immigrants,Canadian,Got better,2,Liberal,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,63,3.0,2.0,3.0,3.0
Atheist,Ontario,73,Self employed,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Strongly disagree,27,2.0,1.0,4.0,2.0
Atheist,Ontario,35,Retired,Female,Completed secondary/ high school,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Not voted,Neither agree nor disagree,Strongly disagree,Somewhat disagree,65,2.0,2.0,3.0,1.0
Muslim,Alberta,23,Retired,Male,Master degree,More immigrants,Immigrant,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,77,3.0,1.0,4.0,1.0
Christian Reformed,Nova Scotia,45,Retired,Female,Bachelor degree,More immigrants,Canadian,Got better,1,Conservative,Somewhat disagree,Strongly disagree,Strongly disagree,55,3.0,1.0,2.0,1.0
Catholic,Saskatchewan,40,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,1,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,60,1.0,3.0,4.0,3.0
Catholic,Quebec,57,Working for pay part-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Strongly agree,Strongly agree,43,1.0,5.0,5.0,5.0
Catholic,Ontario,32,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,68,2.0,3.0,4.0,3.0
Catholic,New Brunswick,17,Retired,Female,Bachelor degree,More immigrants,Canadian,Got better,2,Liberal,Strongly agree,Somewhat disagree,Somewhat disagree,83,3.0,2.0,5.0,2.0
